dblp_key,year,title,venue,members
journals/pacmhci/WesselWSG21,2021,Don't Disturb Me: Challenges of Interacting with Software Bots on Open Source Software Projects,Proc. ACM Hum. Comput. Interact.,igor-steinmacher;igor-wiese;mairieli-wessel;marco-gerosa
conf/msr/SantosWTSSG21,2021,Can I Solve It? Identifying APIs Required to Complete OSS Tasks,MSR,bianca-trinkenreich;fabio-santos;igor-steinmacher;igor-wiese;marco-gerosa
conf/icse/MatsubaraSGC21,2021,Buying time in software development: how estimates become commitments?,CHASE@ICSE,bruno-gadelha;igor-steinmacher;patricia-matsubara;tayana-conte
journals/jisa/SteinmacherBTGI21,2021,Being a Mentor in open source projects,J. Internet Serv. Appl.,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/sbes/WesselSWSG20,2020,What to Expect from Code Review Bots on GitHub?: A Survey with OSS Maintainers,SBES,igor-steinmacher;igor-wiese;mairieli-wessel;marco-gerosa
conf/icse/SilvaGSC20,2020,Towards an open repository for teaching software modeling applying active learning strategies,ICSE (SEET),bruno-gadelha;igor-steinmacher;tayana-conte;williamson-silva
conf/icse/WesselS20,2020,The Inconvenient Side of Software Bots on Pull Requests,ICSE (Workshops),igor-steinmacher;mairieli-wessel
journals/sigsoft/TellRHSBTC20,2020,Summary of the 1st ICSSP-ICGSE Joint Event,ACM SIGSOFT Softw. Eng. Notes,igor-steinmacher
conf/icse/ZanattaMSPS20,2020,Strategies for Crowdworkers to Overcome Barriers in Competition-based Software Crowdsourcing Development,ICSE (Workshops),igor-steinmacher
conf/vl/DiasB0SFRTC20,2020,Refactoring from 9 to 5? What and When Employees and Volunteers Contribute to OSS,VL/HCC,caio-vieira;igor-steinmacher
conf/wikis/BalaliAPTGSS20,2020,Recommending Tasks to Newcomers in OSS Projects: How Do Mentors Handle It?,OpenSym,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/wcre/Bertoncello0WS20,2020,Pull Requests or Commits? Which Method Should We Use to Study Contributors' Behavior?,SANER,igor-steinmacher;igor-wiese;marcus-bertoncello
conf/icse/MachadoSMS20,2020,How Online Forums Complement Task Documentation in Software Crowdsourcing,ICSE (Workshops),igor-steinmacher
journals/pacmhci/TrinkenreichGWS20,2020,Hidden Figures: Roles and Pathways of Successful OSS Contributors,Proc. ACM Hum. Comput. Interact.,bianca-trinkenreich;igor-steinmacher;igor-wiese
journals/jss/SilvaWGTGS20,2020,Google summer of code: Student motivations and contributions,J. Syst. Softw.,igor-steinmacher;igor-wiese;jefferson-silva;marco-gerosa
conf/icsm/WesselSWSG20,2020,Effects of Adopting Code Review Bots on Pull Requests to OSS Projects,ICSME,igor-steinmacher;igor-wiese;mairieli-wessel;marco-gerosa
conf/icse/DominicHSRR20,2020,Conversational Bot for Newcomers Onboarding to Open Source Projects,ICSE (Workshops),igor-steinmacher
conf/sbes/MartinsG20,2020,CoNCRA: A Convolutional Neural Networks Code Retrieval Approach,SBES,marco-gerosa
journals/ese/OliveiraFSCCG20,2020,Code and commit metrics of developer productivity: a study on team leaders perceptions,Empir. Softw. Eng.,alessandro-garcia;igor-steinmacher;tayana-conte
conf/icsm/AndersonSR20,2020,Assessing the Characteristics of FOSS Contributions in Network Automation Projects,ICSME,igor-steinmacher
conf/sigsoft/SilvaWGTGS20,2020,A theory of the engagement in open source projects via summer of code programs,ESEC/SIGSOFT FSE,igor-steinmacher;igor-wiese;jefferson-silva;marco-gerosa
conf/sbes/TonhaoCS20,2020,A portal for cataloging worked examples extracted from open source software,SBES,igor-steinmacher;simone-tonhao
conf/icse/IaffaldanoSCGL19,2019,Why do developers take breaks from contributing to OSS projects?: a preliminary analysis,SoHeal@ICSE,igor-steinmacher;marco-gerosa
journals/jisa/LimaGCN19,2019,"What to expect, and how to improve online discussion forums: the instructors' perspective",J. Internet Serv. Appl.,marco-gerosa;tayana-conte
conf/oss/FronchettiW0S19,2019,What Attracts Newcomers to Onboard on OSS Projects? TL;DR: Popularity,OSS,igor-steinmacher;igor-wiese
conf/esem/Nascimento0OPSC19,2019,Understanding Development Process of Machine Learning Systems: Challenges and Solutions,ESEM,igor-steinmacher;tayana-conte
conf/sbes/LopesSC19,2019,UML Acceptance: Analyzing the Students' Perception of UML Diagrams,SBES,igor-steinmacher;tayana-conte
conf/vem/MartinsG19,2019,Um estudo preliminar sobre o uso de uma arquitetura deep learning para seleção de respostas no problema de recuperação de código-fonte,VEM,marco-gerosa
journals/software/RoblesSAT19,2019,Twenty Years of Open Source Software: From Skepticism to Mainstream,IEEE Softw.,igor-steinmacher
conf/icse/0001FSSM19,2019,Training software engineers using open-source software: the students' perspective,ICSE (SEET),igor-steinmacher
journals/ploscb/ShollerSFAHW19,2019,Ten simple rules for helping newcomers become contributors to open projects,PLoS Comput. Biol.,igor-steinmacher
journals/access/SilvaSC19,2019,Students' and Instructors' Perceptions of Five Different Active Learning Strategies Used to Teach Software Modeling,IEEE Access,igor-steinmacher;tayana-conte;williamson-silva
conf/icse/WesselSWG19,2019,Should I stale or should I close?: an analysis of a bot that closes abandoned issues and pull requests,BotSE@ICSE,igor-steinmacher;igor-wiese;mairieli-wessel;marco-gerosa
journals/sqj/WieseKSORTG19,2019,Pieces of contextual information suitable for predicting co-changes? An empirical study,Softw. Qual. J.,igor-steinmacher;igor-wiese;marco-gerosa
conf/iticse/BosseRG19,2019,Pedagogical Content for Professors of Introductory Programming Courses,ITiCSE,marco-gerosa
journals/cscw/SteinmacherGCR19,2019,Overcoming Social Barriers When Contributing to Open Source Software Projects,Comput. Support. Cooperative Work.,igor-steinmacher;marco-gerosa;tayana-conte
journals/software/SteinmacherTG19,2019,Let Me In: Guidelines for the Successful Onboarding of Newcomers to Open Source Projects,IEEE Softw.,igor-steinmacher;marco-gerosa
conf/hai/ChavesDEG19,2019,It's How You Say It: Identifying Appropriate Register for Chatbot Language Design,HAI,ana-paula-chaves;marco-gerosa
conf/sbes/PachecoWSC019,2019,How Open is the SBES PC Community?,SBES,igor-steinmacher;igor-wiese
conf/fie/BosseRG19,2019,Connections and Influences Among Topics of Learning How to Program,FIE,marco-gerosa
journals/ese/CarvalhoAVDG19,2019,An empirical catalog of code smells for the presentation layer of Android apps,Empir. Softw. Eng.,marco-gerosa
conf/icse/0001DS18,2018,Who gets a patch accepted first?: comparing the contributions of employees and volunteers,CHASE@ICSE,igor-steinmacher
journals/jbcs/DiasSP18,2018,Who drives company-owned OSS projects: internal or external members?,J. Braz. Comput. Soc.,igor-steinmacher
conf/sbes/FerreiraS0SM18,2018,When students become contributors: leveraging OSS contributions in software engineering courses,SBES,igor-steinmacher
